name,status,detail,full_sessions,full_years,full_cagr,full_annualized_volatility,full_sharpe,full_max_drawdown,full_calmar,full_annual_cost_drag,full_annual_contract_turnover,full_average_markets_held,train_sessions,train_years,train_cagr,train_annualized_volatility,train_sharpe,train_max_drawdown,train_calmar,train_annual_cost_drag,train_annual_contract_turnover,train_average_markets_held,test_sessions,test_years,test_cagr,test_annualized_volatility,test_sharpe,test_max_drawdown,test_calmar,test_annual_cost_drag,test_annual_contract_turnover,test_average_markets_held
profile:trend_lookback=273,completed,,6523.0,25.00530469482604,0.10681694105697725,0.0774003879415584,1.3055969790680224,-0.1509643360503583,0.7075640767323054,0.01037675625879208,3661.346038061336,39.253257703510656,3915.0,15.00646830530401,0.13174699949469448,0.0777716566479735,1.5763736495842615,-0.1509643360503583,0.872702804791899,0.012716003977521406,2708.9152122124865,34.48378033205619,2608.0,9.99883638952203,0.07042814738249081,0.07680955148511667,0.894598567693932,-0.12453460006894801,0.5655307628843598,0.006865193828260909,5094.17697862428,46.41296012269939
profile:trend_lookback=294,completed,,6523.0,25.00530469482604,0.1087420101840153,0.07763699058101094,1.3234777107976778,-0.14349303170817362,0.7578208425142722,0.010458602405381082,4056.8720618838993,39.41621953089069,3915.0,15.00646830530401,0.13949342716397073,0.0781760513316723,1.6529317663432468,-0.14161604149868967,0.9850114837820927,0.012849495315740886,3043.6208255750275,34.69374201787995,2608.0,9.99883638952203,0.06413998316766989,0.07676763737666217,0.820881081568442,-0.14349303170816996,0.4469902294497134,0.006869512779591728,5581.3338017265005,46.50536809815951
profile:trend_lookback=315,completed,,6523.0,25.00530469482604,0.0936363650582912,0.07618557589127961,1.173241996539545,-0.19173778005620334,0.48835636373198826,0.010128278209389637,2812.807301204819,38.17691246359037,3915.0,15.00646830530401,0.1108049685003345,0.07731746802059604,1.351753930241905,-0.19173778005620334,0.5778984635571283,0.012545729533831963,2304.7348480284777,33.90625798212005,2608.0,9.99883638952203,0.06836605127921569,0.07444595194345303,0.8955705453266453,-0.14438288603790117,0.47350522735270223,0.0064993204121535485,3577.8550733077554,44.58780674846626
profile:trend_lookback=378,completed,,6523.0,25.00530469482604,0.08789302049949965,0.07697203457453308,1.0959329255679446,-0.20383788557452387,0.4311907977840834,0.00995244061370792,2417.6413192771083,37.19116970718994,3915.0,15.00646830530401,0.0961233717818133,0.07655413647780951,1.1965295666841547,-0.20383788557452387,0.47156774370420085,0.01223225935654666,1954.1607215224535,32.768071519795654,2608.0,9.99883638952203,0.07565656067180737,0.07760482165074915,0.9468896728740523,-0.17233440060233118,0.4390102057823501,0.006530090008564646,3115.421433954508,43.83090490797546
profile:trend_lookback=441,completed,,6523.0,25.00530469482604,0.0833840991623267,0.07735226901040827,1.0390413270267718,-0.24970311716691307,0.33393295249329596,0.009863180416291884,2036.1569293537787,35.870764985436146,3915.0,15.00646830530401,0.0783939717746831,0.07740610619656345,0.9806615267033659,-0.24970311716691307,0.3139487110298305,0.01206217373494179,1688.596486856517,31.70140485312899,2608.0,9.99883638952203,0.09091675680445666,0.07728429941926038,1.1266435702180753,-0.1429123870434904,0.6361712842763539,0.006562160921462755,2559.600221978624,42.12960122699386
profile:trend_lookback=504,completed,,6523.0,25.00530469482604,0.08408783075014536,0.07747885231940341,1.045563976135883,-0.2646646955131091,0.3177145731021023,0.00986171499226593,2275.1447382256297,36.191476314579184,3915.0,15.00646830530401,0.08777332665684257,0.07758960738220438,1.0863495389447648,-0.2646646955131091,0.3316397243186334,0.012049690721946038,1849.4818743154437,31.6485312899106,2608.0,9.99883638952203,0.07857997950806905,0.07732612639748467,0.9839470963372515,-0.1502275384961177,0.5230730683249515,0.0065772345544984345,2916.0344621814197,43.01111963190184
profile:basis_weight=0.0,completed,,6523.0,25.00530469482604,0.10964183495079416,0.07939529966216065,1.3057878961940517,-0.11668875182221505,0.9396092874302276,0.010459955100593488,3764.318019989047,46.825847002912774,3915.0,15.00646830530401,0.13357312166298851,0.07945661696117538,1.564201553648526,-0.10888677128751478,1.2267157900227346,0.012695888714110603,2717.9162595837897,40.02196679438059,2608.0,9.99883638952203,0.07467001787264338,0.07927846522694328,0.9174067201164181,-0.1166887518222155,0.6399075892628369,0.007103482670793068,5338.305906412716,57.03949386503067
profile:basis_weight=0.1,completed,,6523.0,25.00530469482604,0.10977800571212826,0.07977119510813634,1.3014982156500874,-0.11132191350704834,0.9861311421419078,0.010476363123734043,3903.214182092004,46.917369308600335,3915.0,15.00646830530401,0.13686859866095258,0.07940734384347285,1.6004488609893666,-0.11132191350704834,1.2294847829065276,0.01268420112190151,2808.8601752464406,40.04495530012771,2608.0,9.99883638952203,0.07032648688924037,0.08027932815481197,0.8582199184322109,-0.11113763281987687,0.6327873385896207,0.007162066435534027,5549.303766100302,57.23389570552147
profile:basis_weight=0.2,completed,,6523.0,25.00530469482604,0.11152418674985398,0.07996235943167813,1.3175773684945897,-0.1148977346276836,0.9706386911042126,0.010464911720302287,3980.863217415115,46.98267668250805,3915.0,15.00646830530401,0.1397457432833049,0.07980082997323236,1.6235583517854753,-0.10336618602854553,1.3519483368063212,0.012686770603334493,2873.5343674698797,40.18390804597701,2608.0,9.99883638952203,0.07047463258260045,0.08016510189797113,0.8609942150480513,-0.11489773462768249,0.6133683384704514,0.007129567576486688,5646.494905453549,57.188650306748464
profile:basis_weight=0.3,completed,,6523.0,25.00530469482604,0.11851756990698137,0.07924813810928595,1.4052175519089876,-0.10305925355382417,1.1499944529006692,0.010498225006199447,4370.308533680175,47.01594358424038,3915.0,15.00646830530401,0.1460279925165402,0.07954673442742442,1.6952770266730988,-0.09908471652656503,1.4737690900835294,0.012713715373065771,2976.7463773274917,40.17752234993614,2608.0,9.99883638952203,0.07846366870339438,0.0787607969273008,0.9661473523584708,-0.10305925355382395,0.7613452067398856,0.007172440962379791,6465.963348177583,57.28144171779141
