Date,gross_return,cost_return,net_return,nav,turnover_fraction,traded_notional_usd,impact_cost_return,fixed_cost_return,participation_fill_fraction,order_deferred,rebalance_session,risk_weight_sum,cash_weight,sleeves_held,book_live
2018-02-01,-0.0033178059968230196,2.17130342833077e-05,-0.003339519031106327,1.6486466584194102,0.053238142667504346,8806498.06882192,8.403498616431613e-06,1.3309535666876086e-05,0.7011022369185778,True,True,0.9415351403408967,0.05846485965910325,11,True
2018-02-02,-0.011805553200680134,8.956085043767422e-06,-0.011814509285723902,1.6291687071646364,0.026287109175175363,4333815.470115908,2.38430774997358e-06,6.571777293793841e-06,1.0,False,False,0.9526300379779016,0.04736996202209842,11,True
2018-02-05,-0.014063789053535652,0.0,-0.014063789053535652,1.6062564221344515,0.0,0.0,0.0,0.0,1.0,False,False,0.9518680243376199,0.04813197566238013,11,True
2018-02-06,0.004615707932949803,0.0,0.004615707932949803,1.613670432644449,0.0,0.0,0.0,0.0,1.0,False,False,0.9521235344623146,0.047876465537685396,11,True
2018-02-07,-0.0062502744048272725,0.0,-0.0062502744048272725,1.603584549641465,0.0,0.0,0.0,0.0,1.0,False,False,0.9518569888421177,0.04814301115788228,11,True
2018-02-08,-0.01399361068914497,0.0,-0.01399361068914497,1.5811446117466543,0.0,0.0,0.0,0.0,1.0,False,False,0.9511678905048394,0.0488321094951606,11,True
2018-02-09,0.0028882908645629195,0.0,0.0028882908645629195,1.585711417284315,0.0,0.0,0.0,0.0,1.0,False,False,0.9512677236626648,0.04873227633733525,11,True
2018-02-12,0.0057177634731503495,0.0,0.0057177634731503495,1.594778140105021,0.0,0.0,0.0,0.0,1.0,False,False,0.9515679649338227,0.048432035066177305,11,True
2018-02-13,0.001986742967154893,0.0,0.001986742967154893,1.597946554359047,0.0,0.0,0.0,0.0,1.0,False,False,0.951663996149533,0.04833600385046701,11,True
2018-02-14,0.004903678025690008,0.0,0.004903678025690008,1.6057823697638844,0.0,0.0,0.0,0.0,1.0,False,False,0.951968930469725,0.04803106953027501,11,True
2018-02-15,0.005957158007320296,0.0,0.005957158007320296,1.615348269065937,0.0,0.0,0.0,0.0,1.0,False,False,0.952270527580187,0.047729472419813,11,True
2018-02-16,0.0022548215283465668,0.0,0.0022548215283465668,1.6189905911188045,0.0,0.0,0.0,0.0,1.0,False,False,0.9523664880142004,0.04763351198579961,11,True
2018-02-20,-0.005750776892522487,0.0,-0.005750776892522487,1.6096801374381873,0.0,0.0,0.0,0.0,1.0,False,False,0.9520967198352874,0.04790328016471253,11,True
2018-02-21,-0.0046958417228929,0.0,-0.0046958417228929,1.602121334288293,0.0,0.0,0.0,0.0,1.0,False,False,0.9518649392674042,0.04813506073259579,11,True
2018-02-22,0.0026563168528780075,0.0,0.0026563168528780075,1.6063770761889182,0.0,0.0,0.0,0.0,1.0,False,False,0.9519867123380511,0.04801328766194887,11,True
2018-02-23,0.008032859131106018,0.0,0.008032859131106018,1.619280876953382,0.0,0.0,0.0,0.0,1.0,False,False,0.9523579066461214,0.047642093353878534,11,True
2018-02-26,0.004485648449885901,0.0,0.004485648449885901,1.6265444017090178,0.0,0.0,0.0,0.0,1.0,False,False,0.9525649753848907,0.04743502461510934,11,True
2018-02-27,-0.00970498184291015,0.0,-0.00970498184291015,1.6107588178237446,0.0,0.0,0.0,0.0,1.0,False,False,0.9521345344792569,0.04786546552074306,11,True
2018-02-28,-0.003655111244508538,0.0,-0.003655111244508538,1.6048713151565257,0.0,0.0,0.0,0.0,1.0,False,False,0.9519474197098271,0.048052580290172925,11,True
2018-03-01,-0.002937456059626437,2.808954636744416e-05,-0.0029655456059938814,1.6001119960796775,0.07286296479708404,11693568.21400999,9.87380516817315e-06,1.821574119927101e-05,0.1288328766836342,True,True,0.9222639060845108,0.07773609391548914,11,True
2018-03-02,0.0008077894808086175,2.868845508605596e-05,0.0007791010257225615,1.601358644977094,0.07450251049340662,11921236.077855194,1.0062827462704306e-05,1.8625627623351655e-05,0.1505481958436641,True,False,0.8923434331007021,0.10765656689929798,11,True
2018-03-05,0.0028203043145945067,2.8728259177427106e-05,0.00279157605541708,1.6058289594265474,0.07477837945543613,11974700.439834015,1.0033664313568072e-05,1.8694594863859032e-05,0.17676917937916806,True,False,0.8626555592601383,0.13734444073986177,11,True
2018-03-06,0.0034363490408148376,2.7881255445618935e-05,0.0034084677853692185,1.6113023757035656,0.07275497650765293,11683204.82183872,9.692511318705698e-06,1.8188744126913235e-05,0.2081737477354152,True,False,0.8339657649778716,0.1660342350221285,11,True
2018-03-07,-0.0004256329240190028,2.77738820541284e-05,-0.0004534068060731312,1.61057180023978,0.07260497198772559,11698856.385171307,9.622639057197001e-06,1.8151242996931397e-05,0.2605553052262526,True,False,0.8049893935373287,0.1950106064626713,11,True
2018-03-08,0.0011489885980591726,2.7829994310462817e-05,0.0011211586037487098,1.612377506670574,0.0727623409017788,11718897.437583845,9.639409085018116e-06,1.81905852254447e-05,0.3517665066722885,True,False,0.7762477310789493,0.2237522689210507,11,True
2018-03-09,0.0038760312089361885,2.8170338903536632e-05,0.0038478608700326516,1.6185817109862126,0.07446855319960219,12007142.013333954,9.553200603636084e-06,1.861713829990055e-05,0.5323488858407939,True,False,0.7483321035257404,0.2516678964742595,11,True
2018-03-12,0.001102929533829098,2.4354351883726114e-05,0.001078575181945372,1.6203274730496329,0.06555339969140452,10610353.383347657,7.966001960874984e-06,1.6388349922851128e-05,1.0,False,False,0.7229563465519359,0.27704365344806414,11,True
2018-03-13,-0.0014178196752226123,0.0,-0.0014178196752226123,1.6180301408780393,0.0,0.0,0.0,0.0,1.0,False,False,0.7224964740656105,0.27750352593438954,11,True
2018-03-14,0.0006199442240270306,0.0,0.0006199442240270306,1.6190332293181784,0.0,0.0,0.0,0.0,1.0,False,False,0.7227016419990808,0.2772983580009192,11,True
2018-03-15,-0.0009661201358780109,0.0,-0.0009661201358780109,1.6174690487146783,0.0,0.0,0.0,0.0,1.0,False,False,0.7224002094391988,0.27759979056080114,11,True
2018-03-16,0.00020430295656642347,0.0,0.00020430295656642347,1.6177995024234852,0.0,0.0,0.0,0.0,1.0,False,False,0.7225899283977356,0.2774100716022644,11,True
