Episode,Symbol,Contribution
2007-06-21 to 2007-08-16,6A,-0.0031250688546975926
2007-06-21 to 2007-08-16,CGB,-0.0029247777382003974
2007-06-21 to 2007-08-16,RB,-0.0025881120747977067
2007-06-21 to 2007-08-16,LE,-0.0024166681237808127
2007-06-21 to 2007-08-16,ZF,-0.002102336942959501
2007-06-21 to 2007-08-16,SNK,-0.0018088820667382154
2007-06-21 to 2007-08-16,6E,-0.0017664090810107767
2007-06-21 to 2007-08-16,EMD,-0.0017236304510556046
2007-06-21 to 2007-08-16,6B,-0.001527258889565758
2007-06-21 to 2007-08-16,ES,-0.0015057247112454956
2007-06-21 to 2007-08-16,ZS,-0.0014687779473743585
2007-06-21 to 2007-08-16,CL,-0.001455035243650533
2007-06-21 to 2007-08-16,6C,-0.001153964214314361
2007-06-21 to 2007-08-16,PL,-0.0009280192151738078
2007-06-21 to 2007-08-16,HTW,-0.0008130798527337228
2007-06-21 to 2007-08-16,SXF,-0.0007438958340663693
2007-06-21 to 2007-08-16,FESX,-0.0006996204123203565
2007-06-21 to 2007-08-16,YAP,-0.0006677266561910884
2007-06-21 to 2007-08-16,YM,-0.0006498419934426045
2007-06-21 to 2007-08-16,NQ,-0.000646991078670393
2007-06-21 to 2007-08-16,CC,-0.0005126696785966595
2007-06-21 to 2007-08-16,RS,-0.000459627870076231
2007-06-21 to 2007-08-16,HG,-0.0004159550461973925
2007-06-21 to 2007-08-16,RTY,-0.00038842302176136803
2007-06-21 to 2007-08-16,PA,-0.00035569083979497426
2007-06-21 to 2007-08-16,GAS,-0.00014259333970848286
2007-06-21 to 2007-08-16,CT,-0.00011980769597330133
2007-06-21 to 2007-08-16,6M,-6.077608219877706e-05
2007-06-21 to 2007-08-16,ZL,0.0
2007-06-21 to 2007-08-16,SI,0.0
2007-06-21 to 2007-08-16,FCE,0.0
2007-06-21 to 2007-08-16,FDAX,0.0
2007-06-21 to 2007-08-16,LFT,0.0
2007-06-21 to 2007-08-16,FSMI,0.0
2007-06-21 to 2007-08-16,ZN,0.0
2007-06-21 to 2007-08-16,ZM,1.597123304720641e-05
2007-06-21 to 2007-08-16,NKD,0.00016305128118253062
2007-06-21 to 2007-08-16,ZB,0.000237566861803161
2007-06-21 to 2007-08-16,KC,0.00024358365703867468
2007-06-21 to 2007-08-16,HO,0.000275515568391915
2007-06-21 to 2007-08-16,HE,0.0005768312063885439
2007-06-21 to 2007-08-16,SB,0.0006868051974431074
2007-06-21 to 2007-08-16,BRN,0.0008978654749537533
2007-06-21 to 2007-08-16,KE,0.000982957097843986
2007-06-21 to 2007-08-16,GC,0.0010696017688742478
2007-06-21 to 2007-08-16,SJB,0.0016566724067867901
2007-06-21 to 2007-08-16,ZW,0.002344832134008251
2007-06-21 to 2007-08-16,NG,0.002585469516104261
2007-06-21 to 2007-08-16,GF,0.0031585515787383154
1996-10-09 to 1996-11-04,6B,-0.009015436338509162
1996-10-09 to 1996-11-04,RS,-0.0077018245707596005
1996-10-09 to 1996-11-04,6C,-0.006936797782981098
1996-10-09 to 1996-11-04,ZM,-0.00689547789659438
1996-10-09 to 1996-11-04,6M,-0.005674042329457734
1996-10-09 to 1996-11-04,HO,-0.005461806671432857
1996-10-09 to 1996-11-04,ZW,-0.004575890415736415
1996-10-09 to 1996-11-04,LLG,-0.004456382916866909
1996-10-09 to 1996-11-04,ZS,-0.004288870474401388
1996-10-09 to 1996-11-04,GAS,-0.003796785911680417
1996-10-09 to 1996-11-04,CL,-0.0037711700867982816
1996-10-09 to 1996-11-04,KE,-0.003591112127520693
1996-10-09 to 1996-11-04,ZC,-0.002987169822191524
1996-10-09 to 1996-11-04,LFT,-0.0026811015363392187
1996-10-09 to 1996-11-04,BRN,-0.0022772495400857893
1996-10-09 to 1996-11-04,ZN,-0.0017998958803212086
