date,base_gross_return,base_cost_return,base_net_return,prior_overlay_nav,prior_overlay_peak_nav,prior_overlay_drawdown_fraction,exposure_multiplier,desired_multiplier_after_close,decision_multiplier_after_close,overlay_adjustment_turnover_multiple,overlay_adjustment_cost_return,scaled_base_cost_return,overlay_net_return,overlay_nav,overlay_drawdown_fraction
1998-01-07,-0.005449818407604498,0.0,-0.005449818407604498,2.971228086050085,2.971228086050085,0.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.005449818407604498,2.9550354325335375,0.005449818407604501
1998-01-08,0.012860967296254603,0.0,0.012860967296254603,2.9550354325335375,2.971228086050085,0.005449818407604501,1.0,1.0,1.0,0.0,0.0,0.0,0.012860967296254603,2.993040046590625,0.0
1998-01-09,0.004199746139038344,0.0,0.004199746139038344,2.993040046590625,2.993040046590625,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.004199746139038344,3.005610054970281,0.0
1998-01-12,0.0038989384519674255,0.0001668445466626244,0.0037320939053048013,3.005610054970281,3.005610054970281,0.0,1.0,1.0,1.0,0.0,0.0,0.0001668445466626244,0.0037320939053048013,3.016827273938158,0.0
1998-01-13,-0.010055862588829605,0.0,-0.010055862588829605,3.016827273938158,3.016827273938158,0.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.010055862588829605,2.9864904734172026,0.010055862588829623
1998-01-14,0.0008281199682056362,0.0,0.0008281199682056362,2.9864904734172026,3.016827273938158,0.010055862588829623,1.0,1.0,1.0,0.0,0.0,0.0,0.0008281199682056362,2.9889636458130955,0.009236070081231285
1998-01-15,-0.0011471527062685612,0.0,-0.0011471527062685612,2.9889636458130955,3.016827273938158,0.009236070081231285,1.0,1.0,1.0,0.0,0.0,0.0,-0.0011471527062685612,2.985534848077863,0.010372627604710694
1998-01-16,-0.010393457970936482,0.0,-0.010393457970936482,2.985534848077863,3.016827273938158,0.010372627604710694,1.0,1.0,1.0,0.0,0.0,0.0,-0.010393457970936482,2.9545048171135995,0.02065827810658949
1998-01-19,-0.0032391082532080085,0.0,-0.0032391082532080085,2.9545048171135995,3.016827273938158,0.02065827810658949,1.0,1.0,1.0,0.0,0.0,0.0,-0.0032391082532080085,2.944934856176344,0.02383047196068533
1998-01-20,0.00022525855823974077,7.052798529915385e-05,0.0001547305729405869,2.944934856176344,3.016827273938158,0.02383047196068533,1.0,1.0,1.0,0.0,0.0,7.052798529915385e-05,0.0001547305729405869,2.9453905276339127,0.02367942869032469
1998-01-21,0.00472834879473605,0.0,0.00472834879473605,2.9453905276339127,3.016827273938158,0.02367942869032469,1.0,1.0,1.0,0.0,0.0,0.0,0.00472834879473605,2.9593173613852777,0.019063044493696557
1998-01-22,0.002988538942407061,0.0,0.002988538942407061,2.9593173613852777,3.016827273938158,0.019063044493696557,1.0,1.0,1.0,0.0,0.0,0.0,0.002988538942407061,2.968161396562719,0.016131476202119743
1998-01-23,-0.009121001646466693,0.0,-0.009121001646466693,2.968161396562719,3.016827273938158,0.016131476202119743,1.0,1.0,1.0,0.0,0.0,0.0,-0.009121001646466693,2.9410887915776915,0.025105342627586902
1998-01-26,-0.008004326506143735,0.0,-0.008004326506143735,2.9410887915776915,3.016827273938158,0.025105342627586902,1.0,1.0,1.0,0.0,0.0,0.0,-0.008004326506143735,2.917547356606344,0.03290871777429094
1998-01-27,-0.0039173498142580495,0.0,-0.0039173498142580495,2.917547356606344,3.016827273938158,0.03290871777429094,1.0,1.0,1.0,0.0,0.0,0.0,-0.0039173498142580495,2.906118303010853,0.03669715262908835
1998-01-28,-0.0037318120037316575,1.5791517072038234e-05,-0.0037476035208036957,2.906118303010853,3.016827273938158,0.03669715262908835,1.0,1.0,1.0,0.0,0.0,1.5791517072038234e-05,-0.0037476035208036957,2.8952273238266173,0.04030722977149581
1998-01-29,0.008613787861623277,8.72338189183498e-05,0.008526554042704927,2.8952273238266173,3.016827273938158,0.04030722977149581,1.0,1.0,1.0,0.0,0.0,8.72338189183498e-05,0.008526554042704927,2.9199136360691407,0.03212435750174936
1998-01-30,0.005597174577687351,0.00012835146744704246,0.0054688231102403085,2.9199136360691407,3.016827273938158,0.03212435750174936,1.0,1.0,1.0,0.0,0.0,0.00012835146744704246,0.0054688231102403085,2.9358821272419813,0.026831216820216275
1998-02-02,-0.0012809873366519794,0.00046721770014229746,-0.001748205036794277,2.9358821272419813,3.016827273938158,0.026831216820216275,1.0,1.0,1.0,0.0,0.0,0.00046721770014229746,-0.001748205036794277,2.9307496033197027,0.028532515388622115
1998-02-03,0.0042546795679879075,0.0,0.0042546795679879075,2.9307496033197027,3.016827273938158,0.028532515388622115,1.0,1.0,1.0,0.0,0.0,0.0,0.0042546795679879075,2.9432190037758357,0.0243992325308815
1998-02-04,0.0021097567611975416,0.0,0.0021097567611975416,2.9432190037758357,3.016827273938158,0.0243992325308815,1.0,1.0,1.0,0.0,0.0,0.0,0.0021097567611975416,2.949428479968737,0.022340952215483934
1998-02-05,-0.0018740204657575498,0.0,-0.0018740204657575498,2.949428479968737,3.016827273938158,0.022340952215483934,1.0,1.0,1.0,0.0,0.0,0.0,-0.0018740204657575498,2.9439011906349872,0.024173105279565177
1998-02-06,-0.00031476560229510046,0.0,-0.00031476560229510046,2.9439011906349872,3.016827273938158,0.024173105279565177,1.0,1.0,1.0,0.0,0.0,0.0,-0.00031476560229510046,2.9429745518036197,0.024480262019817678
1998-02-09,-0.0030292614238177228,5.709956639879741e-05,-0.00308636099021652,2.9429745518036197,3.016827273938158,0.024480262019817678,1.0,1.0,1.0,0.0,0.0,5.709956639879741e-05,-0.00308636099021652,2.933891469951733,0.027491068084305903
1998-02-10,-0.0007665161803787004,0.0,-0.0007665161803787004,2.933891469951733,3.016827273938158,0.027491068084305903,1.0,1.0,1.0,0.0,0.0,0.0,-0.0007665161803787004,2.93164259466854,0.02823651191618215
1998-02-11,0.007784726674818558,0.0,0.007784726674818558,2.93164259466854,3.016827273938158,0.02823651191618215,1.0,1.0,1.0,0.0,0.0,0.0,0.007784726674818558,2.95446463097629,0.020671598768881472
1998-02-12,0.0009804934177388006,9.234510177011248e-05,0.0008881483159686881,2.95446463097629,3.016827273938158,0.020671598768881472,1.0,1.0,1.0,0.0,0.0,9.234510177011248e-05,0.0008881483159686881,2.9570886337628806,0.01980180989854774
1998-02-13,0.0023374665147084784,4.995945136829799e-05,0.0022875070633401806,2.9570886337628806,3.016827273938158,0.01980180989854774,1.0,1.0,1.0,0.0,0.0,4.995945136829799e-05,0.0022875070633401806,2.963852994899536,0.01755959961521758
1998-02-16,0.000687176791612893,0.0,0.000687176791612893,2.963852994899536,3.016827273938158,0.01755959961521758,1.0,1.0,1.0,0.0,0.0,0.0,0.000687176791612893,2.965889685891383,0.0168844893729303
1998-02-17,0.0067724648366844385,1.6155556265716497e-05,0.006756309280418722,2.965889685891383,3.016827273938158,0.0168844893729303,1.0,1.0,1.0,0.0,0.0,1.6155556265716497e-05,0.006756309280418722,2.9859281539008693,0.010242256924756998
1998-02-18,-0.006228560105159263,0.0,-0.006228560105159263,2.9859281539008693,3.016827273938158,0.010242256924756998,1.0,1.0,1.0,0.0,0.0,0.0,-0.006228560105159263,2.9673301209246103,0.016407022517047953
1998-02-19,0.0007589079584409215,1.2580991187411026e-05,0.0007463269672535105,2.9673301209246103,3.016827273938158,0.016407022517047953,1.0,1.0,1.0,0.0,0.0,1.2580991187411026e-05,0.0007463269672535105,2.9695447194146,0.01567294055315127
1998-02-20,-0.00041597537440159915,3.872800929157311e-05,-0.0004547033836931723,2.9695447194146,3.016827273938158,0.01567294055315127,1.0,1.0,1.0,0.0,0.0,3.872800929157311e-05,-0.0004547033836931723,2.968194457382654,0.01612051739774245
1998-02-23,0.005032307842502653,3.589425156081879e-05,0.004996413590941834,2.968194457382654,3.016827273938158,0.01612051739774245,1.0,1.0,1.0,0.0,0.0,3.589425156081879e-05,0.004996413590941834,2.983024784510079,0.011204648579019705
1998-02-24,0.0007674418825551206,0.0,0.0007674418825551206,2.983024784510079,3.016827273938158,0.011204648579019705,1.0,1.0,1.0,0.0,0.0,0.0,0.0007674418825551206,2.985314082666412,0.010445805613063408
1998-02-25,-0.0007844103343891739,5.405988034358564e-05,-0.0008384702147327596,2.985314082666412,3.016827273938158,0.010445805613063408,1.0,1.0,1.0,0.0,0.0,5.405988034358564e-05,-0.0008384702147327596,2.9828109857264744,0.011275517330920581
1998-02-26,-0.004097175787045749,0.0,-0.004097175787045749,2.9828109857264744,3.016827273938158,0.011275517330920581,1.0,1.0,1.0,0.0,0.0,0.0,-0.004097175787045749,2.970589884778422,0.015326495341371649
1998-02-27,-0.003717502851415398,0.0008439181431119583,-0.004561420994527356,2.970589884778422,3.016827273938158,0.015326495341371649,1.0,1.0,1.0,0.0,0.0,0.0008439181431119583,-0.004561420994527356,2.957039773711863,0.019818005738276412
1998-03-02,-0.004352670713790577,0.00019635682485804037,-0.004549027538648618,2.957039773711863,3.016827273938158,0.019818005738276412,1.0,1.0,1.0,0.0,0.0,0.00019635682485804037,-0.004549027538648618,2.9435881183483685,0.024276880623060437
