Episode ID,Symbol,Asset class,Direction,Entry date,Exit date,Status,Entry contracts,Maximum absolute contracts,Entry NAV USD,Holding sessions,Holding calendar days,Gross P&L USD,Regular cost USD,Roll cost USD,Net P&L USD,Gross contribution,Cost contribution,Net contribution,MFE contribution,MAE contribution,Resize count,Roll count
YYT-0013,YYT,Government bonds,Long,1999-06-01,1999-07-01,Closed,7.0,7.0,3303114.7904304718,22,30,957.9304000000947,197.0458750988743,180.68307736950888,580.2014475317116,0.00028245510634615365,0.00011344534306463415,0.0001690097632815195,0.0005027914989994973,-0.0008701113713162478,0,1
ZB-0011,ZB,Government bonds,Short,1999-06-01,1999-09-01,Closed,2.0,3.0,3303114.7904304718,66,92,3687.00400000001,166.34565155653578,166.65377584451542,3354.0045725989585,0.0011772242780416218,9.859516682472618e-05,0.001078629111216896,0.0015935900870749035,-0.0006053066327344331,1,1
ZF-0008,ZF,Government bonds,Short,1999-06-01,1999-12-01,Closed,9.0,9.0,3303114.7904304718,131,183,4046.8779999999915,234.16801301727506,283.3710268253941,3529.3389601573226,0.0013396764248293773,0.0001505734197788058,0.0011891030050505712,0.002284387858599342,-0.003054137291581341,3,2
ZN-0013,ZN,Government bonds,Short,1999-06-01,1999-12-01,Closed,6.0,8.0,3303114.7904304718,131,183,4250.0,357.4823965253371,427.83113919899085,3464.686464275672,0.001425207603328996,0.00022804769377578904,0.0011971599095532074,0.003608782915828736,-0.002380387867393065,3,2
6C-0011,6C,FX,Long,1999-07-01,2000-05-01,Closed,9.0,14.0,3394117.113072279,217,305,4640.000000000028,331.5812039850972,821.352886348057,3487.065909666874,0.0014081038227897662,0.00031496094041576385,0.0010931428823740016,0.005950815386185747,-0.005008153296266332,6,3
6J-0017,6J,FX,Long,1999-07-01,1999-09-01,Closed,1.0,1.0,3394117.113072279,44,62,10287.499999999978,19.03634940008145,0.0,10268.463650599897,0.0030091698769683616,5.613117720322824e-06,0.0030035567592480387,0.0030063750991184772,-0.00047673295043176265,0,0
CT-0016,CT,Agriculture & livestock,Short,1999-07-01,2000-11-01,Closed,5.0,10.0,3394117.113072279,349,489,6644.999999999989,230.5593189840223,463.0450507108826,5951.3956303050845,0.0021943647551610247,0.0001834666935018182,0.002010898061659207,0.006840570046669295,-0.00720913464526194,11,4
HO-0011,HO,Energy,Long,1999-07-01,2001-09-04,Closed,4.0,8.0,3394117.113072279,568,796,142896.60000000012,236.8512823847918,1125.565622794209,141534.1830948211,0.03743942144029778,0.00034844416744428066,0.037090977272853494,0.03932180959028565,-8.748953633330919e-06,18,26
PL-0021,PL,Metals,Short,1999-07-01,1999-10-01,Closed,15.0,24.0,3394117.113072279,66,92,-53070.00000000007,460.7250017885342,479.48182962448004,-54010.20683141308,-0.015375261650135698,0.000277465222974777,-0.01565272687311047,0.0018833848542736623,-0.020424108127681563,2,1
YYT-0014,YYT,Government bonds,Short,1999-07-01,1999-08-02,Closed,11.0,11.0,3394117.113072279,22,32,-339.2311999999207,390.29204671314017,0.0,-729.5232467130609,-4.900086411308778e-05,0.00011524499457362372,-0.0001642458586867117,0.0013054102316176364,-0.0017578270015546926,0,0
