date,prior_nav_usd,gross_pnl_usd,transaction_cost_usd,fixed_execution_cost_usd,market_impact_cost_usd,net_pnl_usd,gross_return,cost,net_return,nav,equity,rebalance_contract_turnover,roll_contract_turnover_increment,total_contract_turnover,gross_notional_usd,gross_notional_multiple,static_margin_requirement_usd,static_margin_fraction,max_order_participation,max_rebalance_participation,max_roll_participation_proxy,filled_markets,pending_markets,capacity_deferred_contracts,roll_backlog_contracts,target_portfolio_limit_scale,risk_scalar,active_markets,delivery_label_anomalies
2013-05-14,17412978.80422404,92560.8309000006,0.0,0.0,0.0,92560.8309000006,0.0053156230154915935,0.0,0.0053156230154915935,17505539.635124043,17.50553963512404,0.0,0.0,0.0,35633086.3707,2.0355320152029983,2749036.4403999997,0.15703808609728245,0.0,0.0,0.0,0,0,0.0,0.0,1.0,0.6755811878671514,52,0
2013-05-15,17505539.635124043,50554.15749999983,0.0,0.0,0.0,50554.15749999983,0.002887894835219206,0.0,0.002887894835219206,17556093.79262404,17.55609379262404,0.0,0.0,0.0,35580339.893,2.026666086048629,2747658.7808,0.1565074106607013,0.0,0.0,0.0,0,0,0.0,0.0,1.0,0.6755811878671514,52,0
2013-05-16,17556093.79262404,-32638.78040000028,0.0,0.0,0.0,-32638.78040000028,-0.0018591140367291172,0.0,-0.0018591140367291172,17523455.01222404,17.52345501222404,0.0,0.0,0.0,35651694.9656,2.034512882347119,2749003.0584000004,0.15687563077500108,0.0,0.0,0.0,0,0,0.0,0.0,1.0,0.6755811878671514,52,0
2013-05-17,17523455.01222404,102244.70859999991,207.50017711077862,193.85575,13.644427110778613,102037.20842288913,0.0058347345616875145,1.1841282268024788e-05,0.005822893279419489,17625492.22064693,17.62549222064693,0.0,22.0,22.0,35561672.024399996,2.0176271720084045,2743199.8435,0.15563819773989343,0.00014768074108880984,0.0,0.00014768074108880984,0,0,0.0,0.0,1.0,0.6755811878671514,52,0
2013-05-20,17625492.22064693,24639.2215,0.0,0.0,0.0,24639.2215,0.001397930973589323,0.0,0.001397930973589323,17650131.44214693,17.650131442146932,0.0,0.0,0.0,35714274.6488,2.023456582511194,2747542.7545,0.15566698545593344,0.0,0.0,0.0,0,0,0.0,0.0,1.0,0.6755811878671514,52,0
2013-05-21,17650131.44214693,63433.67600000021,119.364488568942,115.0,4.364488568941996,63314.31151143127,0.0035939492126685403,6.762810178507243e-06,0.003587186402490033,17713445.75365836,17.713445753658362,0.0,10.0,10.0,35669316.496,2.013685930566796,2746019.6135,0.1550245870673053,2.0591935786107444e-05,0.0,2.0591935786107444e-05,0,0,0.0,0.0,1.0,0.6755811878671514,52,0
2013-05-22,17713445.75365836,90724.02570000025,0.0,0.0,0.0,90724.02570000025,0.005121760439030502,0.0,0.005121760439030502,17804169.77935836,17.80416977935836,0.0,0.0,0.0,35510504.8567,1.9945049556800933,2741251.7845,0.15396684139005054,0.0,0.0,0.0,0,0,0.0,0.0,1.0,0.6755811878671514,52,0
2013-05-23,17804169.77935836,-164639.50160000043,0.0,0.0,0.0,-164639.50160000043,-0.009247243968144962,0.0,-0.009247243968144962,17639530.27775836,17.63953027775836,0.0,0.0,0.0,35460702.7896,2.0102974530060083,2746335.7007999998,0.1556921107056262,0.0,0.0,0.0,0,0,0.0,0.0,1.0,0.6755811878671514,52,0
2013-05-24,17639530.27775836,-131384.4391999998,668.0180011423512,454.75,213.26800114235115,-132052.45720114216,-0.007448295795362652,3.7870509623754175e-05,-0.0074861663049864075,17507477.820557218,17.507477820557217,0.0,34.0,34.0,35503059.397,2.027879730072394,2746271.3366,0.1568627625719644,0.007532122286220647,0.0,0.007532122286220647,0,0,0.0,0.0,1.0,0.6755811878671514,52,0
2013-05-27,17507477.820557218,-5715.946100000085,0.0,0.0,0.0,-5715.946100000085,-0.00032648598265184954,0.0,-0.00032648598265184954,17501761.874457218,17.501761874457216,0.0,0.0,0.0,35503133.4509,2.028546251832778,2746271.3366,0.15691399279109264,0.0,0.0,0.0,0,0,0.0,0.0,1.0,0.6755811878671514,52,0
2013-05-28,17501761.874457218,52773.7041000002,0.0,0.0,0.0,52773.7041000002,0.003015336654592489,0.0,0.003015336654592489,17554535.57855722,17.554535578557218,0.0,0.0,0.0,35515750.5175,2.0231666260019043,2743098.0262,0.15626149800002007,0.0,0.0,0.0,0,0,0.0,0.0,1.0,0.6755811878671514,52,0
2013-05-29,17554535.57855722,-104794.89699999985,117.51756460980852,115.0,2.517564609808522,-104912.41456460966,-0.00596967641388396,6.694427436368961e-06,-0.005976370841320329,17449623.16399261,17.44962316399261,0.0,10.0,10.0,35456405.023,2.031929554568518,2746190.2956,0.15737820065173547,3.620577916647055e-05,0.0,3.620577916647055e-05,0,0,0.0,0.0,1.0,0.6755811878671514,52,0
2013-05-30,17449623.16399261,-5803.980000000118,501.19764356849396,476.135,25.06264356849398,-6305.1776435686115,-0.0003326134865752666,2.8722548266985957e-05,-0.0003613360348422526,17443317.986349043,17.443317986349044,0.0,38.0,38.0,35499234.745,2.0351193948755233,2750471.8471,0.15768054273002935,0.00025168765561937634,0.0,0.00025168765561937634,0,0,0.0,0.0,1.0,0.6755811878671514,52,0
