Window,Source start,Source end,Source sessions,Method,Drawdown resolution,Expected block sessions,Approximate block months,Horizon sessions,Approximate horizon years,Samples,Seed,Metric,Statistic,Value,Selection adjusted
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,126,6.0,2520,10.0,2000,20260803,Maximum drawdown,P75,-0.08413869371385682,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,126,6.0,2520,10.0,2000,20260803,Maximum drawdown,P95,-0.07153018592551696,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,126,6.0,2520,10.0,2000,20260803,Maximum drawdown,P99,-0.06522923472187248,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,126,6.0,2520,10.0,2000,20260803,Probability capital falls below 50% of initial (diagnostic),Probability,0.0,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,126,6.0,2520,10.0,2000,20260803,Probability maximum drawdown exceeds 15%,Probability,0.0215,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,126,6.0,2520,10.0,2000,20260803,Probability maximum drawdown exceeds 20%,Probability,0.0,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,126,6.0,2520,10.0,2000,20260803,Probability maximum drawdown exceeds 30%,Probability,0.0,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,126,6.0,2520,10.0,2000,20260803,Probability maximum drawdown exceeds 40%,Probability,0.0,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,126,6.0,6300,25.0,2000,20260803,Maximum drawdown,P01,-0.18220238260189406,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,126,6.0,6300,25.0,2000,20260803,Maximum drawdown,P05,-0.15577291509773103,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,126,6.0,6300,25.0,2000,20260803,Maximum drawdown,P25,-0.1259308192630161,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,126,6.0,6300,25.0,2000,20260803,Maximum drawdown,Median,-0.1130855465571508,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,126,6.0,6300,25.0,2000,20260803,Maximum drawdown,P75,-0.09964215368767304,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,126,6.0,6300,25.0,2000,20260803,Maximum drawdown,P95,-0.08662014481229793,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,126,6.0,6300,25.0,2000,20260803,Maximum drawdown,P99,-0.07840614473262109,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,126,6.0,6300,25.0,2000,20260803,Probability capital falls below 50% of initial (diagnostic),Probability,0.0,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,126,6.0,6300,25.0,2000,20260803,Probability maximum drawdown exceeds 15%,Probability,0.067,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,126,6.0,6300,25.0,2000,20260803,Probability maximum drawdown exceeds 20%,Probability,0.003,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,126,6.0,6300,25.0,2000,20260803,Probability maximum drawdown exceeds 30%,Probability,0.0,False
1990-2014 full post-launch history,1990-01-01,2014-12-31,6523,stationary daily bootstrap,daily close; includes initial capital,126,6.0,6300,25.0,2000,20260803,Probability maximum drawdown exceeds 40%,Probability,0.0,False
