Date,Symbol,Trade contracts,End contracts,Vendor roll label date,Executed roll,Physical contract turnover,Charged contract turnover
1990-08-31,ZB,0.0,-2.0,True,True,4.0,4.0
1990-08-31,BRN,0.0,4.0,True,True,8.0,8.0
1990-08-31,HO,0.0,4.0,True,True,8.0,8.0
1990-08-31,HG,0.0,1.0,True,True,2.0,2.0
1990-08-31,SI,0.0,-1.0,True,True,2.0,2.0
1990-08-31,ZC,0.0,4.0,True,True,8.0,8.0
1990-08-31,ZL,0.0,6.0,True,True,12.0,12.0
1990-08-31,ZM,0.0,-6.0,True,True,12.0,12.0
1990-08-31,ZS,0.0,-3.0,True,True,6.0,6.0
1990-09-03,YAP,3.0,-1.0,False,False,3.0,3.0
1990-09-03,LLG,1.0,0.0,False,False,1.0,1.0
1990-09-03,YXT,3.0,-1.0,False,False,3.0,3.0
1990-09-03,YYT,6.0,-3.0,False,False,6.0,6.0
1990-09-03,BRN,-4.0,0.0,False,False,4.0,4.0
1990-09-03,GAS,-4.0,0.0,False,False,4.0,4.0
1990-09-04,ZF,4.0,-2.0,False,False,4.0,4.0
1990-09-04,ZN,2.0,-1.0,False,False,2.0,2.0
1990-09-04,ZB,1.0,-1.0,False,False,1.0,1.0
1990-09-04,6B,-2.0,0.0,False,False,2.0,2.0
1990-09-04,6C,-5.0,1.0,False,False,5.0,5.0
1990-09-04,6J,1.0,1.0,False,False,1.0,1.0
1990-09-04,6S,-2.0,0.0,False,False,2.0,2.0
1990-09-04,CL,-1.0,0.0,False,False,1.0,1.0
1990-09-04,HO,-4.0,0.0,False,False,4.0,4.0
1990-09-04,GC,3.0,-1.0,False,False,3.0,3.0
1990-09-04,HG,-1.0,0.0,False,False,1.0,1.0
1990-09-04,PL,4.0,-2.0,False,False,4.0,4.0
1990-09-04,CC,5.0,1.0,False,False,5.0,5.0
1990-09-04,CT,-3.0,1.0,False,False,3.0,3.0
1990-09-04,GF,-4.0,2.0,False,False,4.0,4.0
1990-09-04,HE,-2.0,1.0,False,False,2.0,2.0
1990-09-04,KE,-1.0,-1.0,False,False,1.0,1.0
1990-09-04,LE,-7.0,2.0,False,False,7.0,7.0
1990-09-04,RS,12.0,-8.0,False,False,12.0,12.0
1990-09-04,SB,1.0,-1.0,False,False,1.0,1.0
1990-09-04,ZC,-1.0,3.0,False,False,1.0,1.0
1990-09-04,ZL,-4.0,2.0,False,False,4.0,4.0
1990-09-04,ZM,4.0,-2.0,False,False,4.0,4.0
1990-09-04,ZS,2.0,-1.0,False,False,2.0,2.0
1990-09-17,YXT,0.0,-1.0,True,True,2.0,2.0
1990-09-17,YYT,0.0,-3.0,True,True,6.0,6.0
1990-09-17,6C,0.0,1.0,True,True,2.0,2.0
1990-09-17,6J,0.0,1.0,True,True,2.0,2.0
1990-09-27,GF,0.0,2.0,True,True,4.0,4.0
1990-09-28,YAP,0.0,-1.0,True,True,2.0,2.0
1990-09-28,PL,0.0,-2.0,True,True,4.0,4.0
1990-09-28,SB,0.0,-1.0,True,True,2.0,2.0
1990-09-28,ZL,0.0,2.0,True,True,4.0,4.0
1990-09-28,ZM,0.0,-2.0,True,True,4.0,4.0
1990-10-01,YAP,-1.0,-2.0,False,False,1.0,1.0
1990-10-01,LLG,-1.0,-1.0,False,False,1.0,1.0
