Window,Cohort definition,Scope,Group,Closed episodes,Open or censored episodes,Entries before window,Wins,Losses,Breakevens,Win rate,Loss rate,Non-breakeven win rate,Profit factor contribution,Profit factor USD,Profit factor denominator zero,Expectancy bps,Expectancy USD,Average win bps,Average loss bps,Payoff ratio contribution,Average win USD,Average loss USD,Payoff ratio USD,Median outcome bps,Mean holding sessions,Median holding sessions,Low sample,Definition version
2005-2014 reused later diagnostic,closed episodes grouped by exit date,Symbol,ZM,12,1,1,3,9,0,0.25,0.75,0.25,0.39482412172895553,0.4057757917252689,False,-13.97417175057666,-16562.056524416406,27.350760100057652,34.636637675893816,0.7896482434579111,45238.692770905116,37162.30628952358,1.217327375175807,-7.650545000495715,119.58333333333333,66.0,True,directional episode v1
2005-2014 reused later diagnostic,closed episodes grouped by exit date,Symbol,ZN,19,1,1,9,10,0,0.47368421052631576,0.5263157894736842,0.47368421052631576,2.413754585086767,2.285790682930743,False,9.367937621876324,10971.388799070968,33.76557634358816,12.589937227664324,2.6819495389852968,41175.49993377895,16212.31122216621,2.5397674254786033,-0.3053298512184436,110.84210526315789,64.0,True,directional episode v1
2005-2014 reused later diagnostic,closed episodes grouped by exit date,Symbol,ZS,17,1,0,6,11,0,0.35294117647058826,0.6470588235294118,0.35294117647058826,0.7410132096485733,0.712530564621482,False,-4.716058847787387,-7103.475742086571,38.23184204499651,28.142186607487698,1.358524217689051,49886.196752552205,38188.75164825317,1.3063060351393836,-6.102568674462177,124.11764705882354,44.0,True,directional episode v1
2005-2014 reused later diagnostic,closed episodes grouped by exit date,Symbol,ZT,12,1,1,5,7,0,0.4166666666666667,0.5833333333333334,0.4166666666666667,2.8289593926840757,2.08011488454096,False,19.01541891538244,16683.951904886937,58.82454051377141,20.793702683006536,2.828959392684076,77112.98978364503,26479.64657994027,2.912160838357344,0.4213074077972872,142.75,45.0,True,directional episode v1
2005-2014 reused later diagnostic,closed episodes grouped by exit date,Symbol,ZW,12,1,1,4,8,0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.7690260928458929,0.46691876367895613,False,-2.9840937684950393,-10036.523453553871,29.80656126590587,19.379421285695493,1.5380521856917857,26372.572151907272,28241.071256284442,0.9338375273579123,-2.949804369676791,183.16666666666666,98.0,True,directional episode v1
1990-2014 full post-launch history,closed episodes grouped by exit date,Overall,All,1678,52,0,810,868,0,0.4827175208581645,0.5172824791418356,0.4827175208581645,2.2682487418188804,1.8387565257812415,False,16.39762474591945,7948.563249229639,59.79423353322741,25.37478347858867,2.356443103590696,36098.06203464496,18319.978244072678,1.970420573306318,-0.5022409537044712,145.31227651966626,66.0,False,directional episode v1
1990-2014 full post-launch history,closed episodes grouped by exit date,Asset class,Agriculture & livestock,503,13,0,218,285,0,0.43339960238568587,0.5666003976143141,0.43339960238568587,1.822315605476593,1.3057759138180365,False,12.083727024543114,3001.3149680009337,60.673769674780466,26.30413585215686,2.306624707832985,29572.527630143988,17323.33191041024,1.7070923643951394,-3.0908230995866695,151.3300198807157,66.0,False,directional episode v1
1990-2014 full post-launch history,closed episodes grouped by exit date,Asset class,Energy,180,5,0,96,84,0,0.5333333333333333,0.4666666666666667,0.5333333333333333,2.3967970938145275,1.55886874752758,False,24.90091497481388,7069.90658191002,78.48012415927555,39.132774050518364,2.0054832825795024,36975.55262495415,27107.974610140413,1.3640101540866327,1.5109864047698727,162.5611111111111,87.0,False,directional episode v1
1990-2014 full post-launch history,closed episodes grouped by exit date,Asset class,Equity indices,328,14,0,169,159,0,0.5152439024390244,0.4847560975609756,0.5152439024390244,2.6827264056272675,2.6003481179249746,False,15.694401972336,11896.592432670735,47.99382672920984,19.485226266042524,2.4630879864531052,37516.883212868655,15335.037390306927,2.446481365385035,1.3130319903978012,122.9359756097561,64.0,False,directional episode v1
1990-2014 full post-launch history,closed episodes grouped by exit date,Asset class,FX,226,6,0,108,118,0,0.4778761061946903,0.5221238938053098,0.4778761061946903,2.054940127569301,1.2352108494584693,False,14.584147651905267,3039.2192511442104,58.902584958170785,26.70396915478653,2.2057614213358554,33398.769182657416,24747.48746583397,1.3495822244083278,-0.6838338313306837,149.77433628318585,45.0,False,directional episode v1
1990-2014 full post-launch history,closed episodes grouped by exit date,Asset class,Government bonds,282,10,0,139,143,0,0.4929078014184397,0.5070921985815603,0.4929078014184397,2.87024544566505,3.008873728072037,False,21.461869137510735,15205.487018001197,65.41069100003013,23.11479303733037,2.829819453472584,46204.67991559965,14926.595588755337,3.0954600224050455,0.1487127512603198,155.70212765957447,86.0,False,directional episode v1
1990-2014 full post-launch history,closed episodes grouped by exit date,Asset class,Metals,159,4,0,80,79,0,0.5031446540880503,0.4968553459119497,0.5031446540880503,2.467588395814955,2.4051816293297748,False,15.46482152079453,10556.926483070009,51.041739620939616,21.4804395832023,2.3761962330069935,35913.69162156597,15120.81036603982,2.3751168589631524,0.6321720944351724,128.13836477987422,46.0,False,directional episode v1
1990-2014 full post-launch history,closed episodes grouped by exit date,Symbol,6A,20,1,0,10,10,0,0.5,0.5,0.5,2.2811877691859803,1.470498743570631,False,24.443985421302283,9648.602757620298,87.04628925495264,38.15831841234808,2.2811877691859803,60311.566932645146,41014.36141740455,1.4704987435706307,2.4751507787228038,215.25,119.5,False,directional episode v1
